Bevolking," leeftijd, migratieachtergrond, geslacht en regio, 1 januari",,,,,,,
,,Onderwerpen,Totale bevolking,Totale bevolking,Totale bevolking,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond
20 tot 25 jaar,Vlissingen,Niet-westerse migratieachtergrond,499,254,245,211,115,96
20 tot 25 jaar,Voerendaal,Totaal,520,279,241,17,10,7
20 tot 25 jaar,Voerendaal,Nederlandse achtergrond,455,248,207, , , 
20 tot 25 jaar,Voerendaal,Westerse migratieachtergrond,45,22,23,10,6,4
20 tot 25 jaar,Voerendaal,Niet-westerse migratieachtergrond,20,9,11,7,4,3
20 tot 25 jaar,Voorschoten,Totaal,1073,558,515,122,58,64
20 tot 25 jaar,Voorschoten,Nederlandse achtergrond,809,425,384, , , 
20 tot 25 jaar,Voorschoten,Westerse migratieachtergrond,141,72,69,69,36,33
20 tot 25 jaar,Voorschoten,Niet-westerse migratieachtergrond,123,61,62,53,22,31
20 tot 25 jaar,Voorst,Totaal,1196,635,561,49,26,23
20 tot 25 jaar,Voorst,Nederlandse achtergrond,1091,583,508, , , 
20 tot 25 jaar,Voorst,Westerse migratieachtergrond,45,21,24,16,10,6
20 tot 25 jaar,Voorst,Niet-westerse migratieachtergrond,60,31,29,33,16,17
20 tot 25 jaar,Vught,Totaal,1183,640,543,76,40,36
20 tot 25 jaar,Vught,Nederlandse achtergrond,1005,539,466, , , 
20 tot 25 jaar,Vught,Westerse migratieachtergrond,84,44,40,27,11,16
20 tot 25 jaar,Vught,Niet-westerse migratieachtergrond,94,57,37,49,29,20
20 tot 25 jaar,Waalre,Totaal,650,334,316,49,26,23
20 tot 25 jaar,Waalre,Nederlandse achtergrond,530,266,264, , , 
20 tot 25 jaar,Waalre,Westerse migratieachtergrond,60,36,24,22,12,10
20 tot 25 jaar,Waalre,Niet-westerse migratieachtergrond,60,32,28,27,14,13
20 tot 25 jaar,Waalwijk,Totaal,2385,1220,1165,185,85,100
20 tot 25 jaar,Waalwijk,Nederlandse achtergrond,1876,979,897, , , 
20 tot 25 jaar,Waalwijk,Westerse migratieachtergrond,184,73,111,103,40,63
20 tot 25 jaar,Waalwijk,Niet-westerse migratieachtergrond,325,168,157,82,45,37
20 tot 25 jaar,Waddinxveen,Totaal,1455,789,666,82,39,43
20 tot 25 jaar,Waddinxveen,Nederlandse achtergrond,1178,634,544, , , 
20 tot 25 jaar,Waddinxveen,Westerse migratieachtergrond,91,54,37,34,16,18
20 tot 25 jaar,Waddinxveen,Niet-westerse migratieachtergrond,186,101,85,48,23,25
20 tot 25 jaar,Wageningen,Totaal,6245,2749,3496,1399,525,874
20 tot 25 jaar,Wageningen,Nederlandse achtergrond,4384,2004,2380, , , 
20 tot 25 jaar,Wageningen,Westerse migratieachtergrond,1106,432,674,867,325,542
20 tot 25 jaar,Wageningen,Niet-westerse migratieachtergrond,755,313,442,532,200,332
20 tot 25 jaar,Wassenaar,Totaal,987,531,456,231,106,125
20 tot 25 jaar,Wassenaar,Nederlandse achtergrond,604,334,270, , , 
20 tot 25 jaar,Wassenaar,Westerse migratieachtergrond,206,105,101,123,56,67
20 tot 25 jaar,Wassenaar,Niet-westerse migratieachtergrond,177,92,85,108,50,58
20 tot 25 jaar,Waterland,Totaal,823,431,392,43,17,26
20 tot 25 jaar,Waterland,Nederlandse achtergrond,726,382,344, , , 
20 tot 25 jaar,Waterland,Westerse migratieachtergrond,47,21,26,22,5,17
20 tot 25 jaar,Waterland,Niet-westerse migratieachtergrond,50,28,22,21,12,9
20 tot 25 jaar,Weert,Totaal,2685,1428,1257,254,126,128
20 tot 25 jaar,Weert,Nederlandse achtergrond,2013,1091,922, , , 
20 tot 25 jaar,Weert,Westerse migratieachtergrond,249,109,140,110,45,65
20 tot 25 jaar,Weert,Niet-westerse migratieachtergrond,423,228,195,144,81,63
20 tot 25 jaar,Weesp,Totaal,851,397,454,88,39,49
20 tot 25 jaar,Weesp,Nederlandse achtergrond,555,261,294, , , 
20 tot 25 jaar,Weesp,Westerse migratieachtergrond,78,40,38,29,11,18
20 tot 25 jaar,Weesp,Niet-westerse migratieachtergrond,218,96,122,59,28,31
20 tot 25 jaar,Werkendam,Totaal,1503,802,701,53,29,24
20 tot 25 jaar,Werkendam,Nederlandse achtergrond,1409,754,655, , , 
20 tot 25 jaar,Werkendam,Westerse migratieachtergrond,42,19,23,16,7,9
20 tot 25 jaar,Werkendam,Niet-westerse migratieachtergrond,52,29,23,37,22,15
20 tot 25 jaar,West Maas en Waal,Totaal,923,482,441,38,17,21
20 tot 25 jaar,West Maas en Waal,Nederlandse achtergrond,851,450,401, , , 
20 tot 25 jaar,West Maas en Waal,Westerse migratieachtergrond,44,19,25,20,8,12
20 tot 25 jaar,West Maas en Waal,Niet-westerse migratieachtergrond,28,13,15,18,9,9
20 tot 25 jaar,Westerveld,Totaal,708,389,319,33,14,19
20 tot 25 jaar,Westerveld,Nederlandse achtergrond,645,358,287, , , 
20 tot 25 jaar,Westerveld,Westerse migratieachtergrond,29,14,15,8,2,6
20 tot 25 jaar,Westerveld,Niet-westerse migratieachtergrond,34,17,17,25,12,13
20 tot 25 jaar,Westervoort,Totaal,796,448,348,53,30,23
20 tot 25 jaar,Westervoort,Nederlandse achtergrond,642,362,280, , , 
20 tot 25 jaar,Westervoort,Westerse migratieachtergrond,48,29,19,11,7,4
20 tot 25 jaar,Westervoort,Niet-westerse migratieachtergrond,106,57,49,42,23,19
20 tot 25 jaar,Westland,Totaal,6688,3590,3098,991,507,484
20 tot 25 jaar,Westland,Nederlandse achtergrond,5241,2842,2399, , , 
20 tot 25 jaar,Westland,Westerse migratieachtergrond,968,511,457,814,421,393
20 tot 25 jaar,Westland,Niet-westerse migratieachtergrond,479,237,242,177,86,91
20 tot 25 jaar,Weststellingwerf,Totaal,1180,642,538,51,30,21
20 tot 25 jaar,Weststellingwerf,Nederlandse achtergrond,1062,578,484, , , 
20 tot 25 jaar,Weststellingwerf,Westerse migratieachtergrond,45,28,17,22,14,8
20 tot 25 jaar,Weststellingwerf,Niet-westerse migratieachtergrond,73,36,37,29,16,13
20 tot 25 jaar,Westvoorne,Totaal,606,316,290,30,10,20
20 tot 25 jaar,Westvoorne,Nederlandse achtergrond,521,273,248, , , 
20 tot 25 jaar,Westvoorne,Westerse migratieachtergrond,42,21,21,16,6,10
20 tot 25 jaar,Westvoorne,Niet-westerse migratieachtergrond,43,22,21,14,4,10
20 tot 25 jaar,Wierden,Totaal,1288,684,604,23,9,14
20 tot 25 jaar,Wierden,Nederlandse achtergrond,1221,649,572, , , 
20 tot 25 jaar,Wierden,Westerse migratieachtergrond,36,20,16,8,3,5
20 tot 25 jaar,Wierden,Niet-westerse migratieachtergrond,31,15,16,15,6,9
20 tot 25 jaar,Wijchen,Totaal,1924,1037,887,106,59,47
20 tot 25 jaar,Wijchen,Nederlandse achtergrond,1670,899,771, , , 
20 tot 25 jaar,Wijchen,Westerse migratieachtergrond,101,58,43,33,16,17
20 tot 25 jaar,Wijchen,Niet-westerse migratieachtergrond,153,80,73,73,43,30
20 tot 25 jaar,Wijdemeren,Totaal,923,498,425,62,29,33
20 tot 25 jaar,Wijdemeren,Nederlandse achtergrond,799,437,362, , , 
20 tot 25 jaar,Wijdemeren,Westerse migratieachtergrond,60,31,29,28,14,14
20 tot 25 jaar,Wijdemeren,Niet-westerse migratieachtergrond,64,30,34,34,15,19
20 tot 25 jaar,Wijk bij Duurstede,Totaal,1170,590,580,46,21,25
20 tot 25 jaar,Wijk bij Duurstede,Nederlandse achtergrond,1009,509,500, , , 
20 tot 25 jaar,Wijk bij Duurstede,Westerse migratieachtergrond,65,31,34,15,8,7
20 tot 25 jaar,Wijk bij Duurstede,Niet-westerse migratieachtergrond,96,50,46,31,13,18
20 tot 25 jaar,Winsum,Totaal,573,325,248,29,15,14
20 tot 25 jaar,Winsum,Nederlandse achtergrond,501,284,217, , , 
20 tot 25 jaar,Winsum,Westerse migratieachtergrond,37,21,16,7,1,6
20 tot 25 jaar,Winsum,Niet-westerse migratieachtergrond,35,20,15,22,14,8
20 tot 25 jaar,Winterswijk,Totaal,1481,827,654,136,98,38
20 tot 25 jaar,Winterswijk,Nederlandse achtergrond,1208,666,542, , , 
20 tot 25 jaar,Winterswijk,Westerse migratieachtergrond,106,58,48,44,30,14
20 tot 25 jaar,Winterswijk,Niet-westerse migratieachtergrond,167,103,64,92,68,24
20 tot 25 jaar,Woensdrecht,Totaal,1037,548,489,111,43,68
20 tot 25 jaar,Woensdrecht,Nederlandse achtergrond,793,437,356, , , 
20 tot 25 jaar,Woensdrecht,Westerse migratieachtergrond,186,81,105,79,27,52
20 tot 25 jaar,Woensdrecht,Niet-westerse migratieachtergrond,58,30,28,32,16,16
20 tot 25 jaar,Woerden,Totaal,2550,1330,1220,144,74,70
20 tot 25 jaar,Woerden,Nederlandse achtergrond,2104,1105,999, , , 
20 tot 25 jaar,Woerden,Westerse migratieachtergrond,137,69,68,45,19,26
20 tot 25 jaar,Woerden,Niet-westerse migratieachtergrond,309,156,153,99,55,44
20 tot 25 jaar,De Wolden,Totaal,1123,615,508,23,11,12
20 tot 25 jaar,De Wolden,Nederlandse achtergrond,1071,589,482, , , 
20 tot 25 jaar,De Wolden,Westerse migratieachtergrond,32,16,16,9,4,5
20 tot 25 jaar,De Wolden,Niet-westerse migratieachtergrond,20,10,10,14,7,7
20 tot 25 jaar,Wormerland,Totaal,843,446,397,34,14,20
20 tot 25 jaar,Wormerland,Nederlandse achtergrond,717,385,332, , , 
20 tot 25 jaar,Wormerland,Westerse migratieachtergrond,51,27,24,11,3,8
20 tot 25 jaar,Wormerland,Niet-westerse migratieachtergrond,75,34,41,23,11,12
20 tot 25 jaar,Woudenberg,Totaal,676,358,318,26,14,12
20 tot 25 jaar,Woudenberg,Nederlandse achtergrond,610,321,289, , , 
20 tot 25 jaar,Woudenberg,Westerse migratieachtergrond,26,13,13,15,8,7
20 tot 25 jaar,Woudenberg,Niet-westerse migratieachtergrond,40,24,16,11,6,5
20 tot 25 jaar,Woudrichem,Totaal,732,392,340,23,10,13
20 tot 25 jaar,Woudrichem,Nederlandse achtergrond,691,368,323, , , 
20 tot 25 jaar,Woudrichem,Westerse migratieachtergrond,26,15,11,12,4,8
20 tot 25 jaar,Woudrichem,Niet-westerse migratieachtergrond,15,9,6,11,6,5
20 tot 25 jaar,Zaanstad,Totaal,8523,4441,4082,871,462,409
20 tot 25 jaar,Zaanstad,Nederlandse achtergrond,5414,2842,2572, , , 
20 tot 25 jaar,Zaanstad,Westerse migratieachtergrond,760,401,359,344,174,170
20 tot 25 jaar,Zaanstad,Niet-westerse migratieachtergrond,2349,1198,1151,527,288,239
20 tot 25 jaar,Zaltbommel,Totaal,1582,831,751,117,52,65
20 tot 25 jaar,Zaltbommel,Nederlandse achtergrond,1359,720,639, , , 
20 tot 25 jaar,Zaltbommel,Westerse migratieachtergrond,105,52,53,78,38,40
20 tot 25 jaar,Zaltbommel,Niet-westerse migratieachtergrond,118,59,59,39,14,25
20 tot 25 jaar,Zandvoort,Totaal,768,399,369,75,28,47
20 tot 25 jaar,Zandvoort,Nederlandse achtergrond,573,305,268, , , 
20 tot 25 jaar,Zandvoort,Westerse migratieachtergrond,99,46,53,41,15,26
20 tot 25 jaar,Zandvoort,Niet-westerse migratieachtergrond,96,48,48,34,13,21
20 tot 25 jaar,Zederik,Totaal,868,467,401,24,13,11
20 tot 25 jaar,Zederik,Nederlandse achtergrond,820,445,375, , , 
20 tot 25 jaar,Zederik,Westerse migratieachtergrond,28,14,14,14,7,7
20 tot 25 jaar,Zederik,Niet-westerse migratieachtergrond,20,8,12,10,6,4
20 tot 25 jaar,Zeewolde,Totaal,1522,830,692,465,274,191
20 tot 25 jaar,Zeewolde,Nederlandse achtergrond,965,510,455, , , 
20 tot 25 jaar,Zeewolde,Westerse migratieachtergrond,462,272,190,402,239,163
20 tot 25 jaar,Zeewolde,Niet-westerse migratieachtergrond,95,48,47,63,35,28
20 tot 25 jaar,Zeist,Totaal,3379,1706,1673,467,229,238
20 tot 25 jaar,Zeist,Nederlandse achtergrond,2260,1159,1101, , , 
20 tot 25 jaar,Zeist,Westerse migratieachtergrond,365,178,187,189,91,98
20 tot 25 jaar,Zeist,Niet-westerse migratieachtergrond,754,369,385,278,138,140
20 tot 25 jaar,Zevenaar,Totaal,1528,814,714,65,35,30
20 tot 25 jaar,Zevenaar,Nederlandse achtergrond,1281,691,590, , , 
20 tot 25 jaar,Zevenaar,Westerse migratieachtergrond,106,50,56,28,14,14
20 tot 25 jaar,Zevenaar,Niet-westerse migratieachtergrond,141,73,68,37,21,16
20 tot 25 jaar,Zoetermeer,Totaal,7226,3772,3454,890,455,435
20 tot 25 jaar,Zoetermeer,Nederlandse achtergrond,4603,2419,2184, , , 
20 tot 25 jaar,Zoetermeer,Westerse migratieachtergrond,576,297,279,182,79,103
20 tot 25 jaar,Zoetermeer,Niet-westerse migratieachtergrond,2047,1056,991,708,376,332
20 tot 25 jaar,Zoeterwoude,Totaal,462,239,223,23,9,14
20 tot 25 jaar,Zoeterwoude,Nederlandse achtergrond,403,209,194, , , 
20 tot 25 jaar,Zoeterwoude,Westerse migratieachtergrond,31,12,19,13,4,9
20 tot 25 jaar,Zoeterwoude,Niet-westerse migratieachtergrond,28,18,10,10,5,5
20 tot 25 jaar,Zuidhorn,Totaal,799,438,361,28,13,15
20 tot 25 jaar,Zuidhorn,Nederlandse achtergrond,739,401,338, , , 
20 tot 25 jaar,Zuidhorn,Westerse migratieachtergrond,30,19,11,9,4,5
20 tot 25 jaar,Zuidhorn,Niet-westerse migratieachtergrond,30,18,12,19,9,10
20 tot 25 jaar,Zuidplas,Totaal,2278,1200,1078,136,69,67
20 tot 25 jaar,Zuidplas,Nederlandse achtergrond,1891,1004,887, , , 
20 tot 25 jaar,Zuidplas,Westerse migratieachtergrond,139,64,75,53,25,28
20 tot 25 jaar,Zuidplas,Niet-westerse migratieachtergrond,248,132,116,83,44,39
20 tot 25 jaar,Zundert,Totaal,1268,667,601,141,76,65
20 tot 25 jaar,Zundert,Nederlandse achtergrond,1014,534,480, , , 
20 tot 25 jaar,Zundert,Westerse migratieachtergrond,202,108,94,120,64,56
20 tot 25 jaar,Zundert,Niet-westerse migratieachtergrond,52,25,27,21,12,9
20 tot 25 jaar,Zutphen,Totaal,2256,1147,1109,220,133,87
20 tot 25 jaar,Zutphen,Nederlandse achtergrond,1739,867,872, , , 
20 tot 25 jaar,Zutphen,Westerse migratieachtergrond,167,78,89,54,23,31
20 tot 25 jaar,Zutphen,Niet-westerse migratieachtergrond,350,202,148,166,110,56
20 tot 25 jaar,Zwartewaterland,Totaal,1333,720,613,41,21,20
20 tot 25 jaar,Zwartewaterland,Nederlandse achtergrond,1264,680,584, , , 
20 tot 25 jaar,Zwartewaterland,Westerse migratieachtergrond,36,23,13,21,10,11
20 tot 25 jaar,Zwartewaterland,Niet-westerse migratieachtergrond,33,17,16,20,11,9
20 tot 25 jaar,Zwijndrecht,Totaal,2437,1284,1153,185,90,95
20 tot 25 jaar,Zwijndrecht,Nederlandse achtergrond,1807,956,851, , , 
20 tot 25 jaar,Zwijndrecht,Westerse migratieachtergrond,143,69,74,40,23,17
20 tot 25 jaar,Zwijndrecht,Niet-westerse migratieachtergrond,487,259,228,145,67,78
20 tot 25 jaar,Zwolle,Totaal,8472,4020,4452,739,372,367
20 tot 25 jaar,Zwolle,Nederlandse achtergrond,6828,3192,3636, , , 
20 tot 25 jaar,Zwolle,Westerse migratieachtergrond,567,263,304,267,122,145
20 tot 25 jaar,Zwolle,Niet-westerse migratieachtergrond,1077,565,512,472,250,222
20 tot 25 jaar,Niet-gemeentelijk ingedeeld,Totaal, , , , , , 
20 tot 25 jaar,Niet-gemeentelijk ingedeeld,Nederlandse achtergrond, , , , , , 
20 tot 25 jaar,Niet-gemeentelijk ingedeeld,Westerse migratieachtergrond, , , , , , 
20 tot 25 jaar,Niet-gemeentelijk ingedeeld,Niet-westerse migratieachtergrond, , , , , , 
25 tot 30 jaar,Aa en Hunze,Totaal,909,475,434,41,18,23
25 tot 30 jaar,Aa en Hunze,Nederlandse achtergrond,834,438,396, , , 
25 tot 30 jaar,Aa en Hunze,Westerse migratieachtergrond,37,19,18,11,5,6
25 tot 30 jaar,Aa en Hunze,Niet-westerse migratieachtergrond,38,18,20,30,13,17
25 tot 30 jaar,Aalburg,Totaal,734,376,358,55,27,28
25 tot 30 jaar,Aalburg,Nederlandse achtergrond,658,336,322, , , 
25 tot 30 jaar,Aalburg,Westerse migratieachtergrond,53,29,24,41,21,20
25 tot 30 jaar,Aalburg,Niet-westerse migratieachtergrond,23,11,12,14,6,8
25 tot 30 jaar,Aalsmeer,Totaal,1408,714,694,269,126,143
25 tot 30 jaar,Aalsmeer,Nederlandse achtergrond,1010,530,480, , , 
25 tot 30 jaar,Aalsmeer,Westerse migratieachtergrond,251,116,135,190,91,99
25 tot 30 jaar,Aalsmeer,Niet-westerse migratieachtergrond,147,68,79,79,35,44
25 tot 30 jaar,Aalten,Totaal,1300,703,597,82,58,24
25 tot 30 jaar,Aalten,Nederlandse achtergrond,1141,598,543, , , 
25 tot 30 jaar,Aalten,Westerse migratieachtergrond,82,51,31,32,20,12
25 tot 30 jaar,Aalten,Niet-westerse migratieachtergrond,77,54,23,50,38,12
25 tot 30 jaar,Achtkarspelen,Totaal,1538,793,745,64,38,26
25 tot 30 jaar,Achtkarspelen,Nederlandse achtergrond,1446,742,704, , , 
25 tot 30 jaar,Achtkarspelen,Westerse migratieachtergrond,43,18,25,22,9,13
25 tot 30 jaar,Achtkarspelen,Niet-westerse migratieachtergrond,49,33,16,42,29,13
25 tot 30 jaar,Alblasserdam,Totaal,1205,610,595,96,41,55
25 tot 30 jaar,Alblasserdam,Nederlandse achtergrond,976,500,476, , , 
25 tot 30 jaar,Alblasserdam,Westerse migratieachtergrond,87,41,46,41,15,26
25 tot 30 jaar,Alblasserdam,Niet-westerse migratieachtergrond,142,69,73,55,26,29
25 tot 30 jaar,Albrandswaard,Totaal,1056,528,528,99,49,50
25 tot 30 jaar,Albrandswaard,Nederlandse achtergrond,783,390,393, , , 
25 tot 30 jaar,Albrandswaard,Westerse migratieachtergrond,71,34,37,30,11,19
25 tot 30 jaar,Albrandswaard,Niet-westerse migratieachtergrond,202,104,98,69,38,31
25 tot 30 jaar,Alkmaar,Totaal,7257,3671,3586,943,475,468
25 tot 30 jaar,Alkmaar,Nederlandse achtergrond,5265,2628,2637, , , 
25 tot 30 jaar,Alkmaar,Westerse migratieachtergrond,758,347,411,363,141,222
25 tot 30 jaar,Alkmaar,Niet-westerse migratieachtergrond,1234,696,538,580,334,246
25 tot 30 jaar,Almelo,Totaal,4257,2190,2067,539,265,274
25 tot 30 jaar,Almelo,Nederlandse achtergrond,2993,1537,1456, , , 
25 tot 30 jaar,Almelo,Westerse migratieachtergrond,407,201,206,206,106,100
25 tot 30 jaar,Almelo,Niet-westerse migratieachtergrond,857,452,405,333,159,174
25 tot 30 jaar,Almere,Totaal,13738,6739,6999,3001,1357,1644
25 tot 30 jaar,Almere,Nederlandse achtergrond,7381,3727,3654, , , 
25 tot 30 jaar,Almere,Westerse migratieachtergrond,1459,658,801,754,292,462
25 tot 30 jaar,Almere,Niet-westerse migratieachtergrond,4898,2354,2544,2247,1065,1182
25 tot 30 jaar,Alphen aan den Rijn,Totaal,6308,3153,3155,836,426,410
25 tot 30 jaar,Alphen aan den Rijn,Nederlandse achtergrond,4647,2308,2339, , , 
25 tot 30 jaar,Alphen aan den Rijn,Westerse migratieachtergrond,699,347,352,400,198,202
25 tot 30 jaar,Alphen aan den Rijn,Niet-westerse migratieachtergrond,962,498,464,436,228,208
25 tot 30 jaar,Alphen-Chaam,Totaal,444,219,225,44,22,22
25 tot 30 jaar,Alphen-Chaam,Nederlandse achtergrond,362,175,187, , , 
25 tot 30 jaar,Alphen-Chaam,Westerse migratieachtergrond,66,37,29,32,17,15
25 tot 30 jaar,Alphen-Chaam,Niet-westerse migratieachtergrond,16,7,9,12,5,7
25 tot 30 jaar,Ameland,Totaal,212,108,104,16,6,10
25 tot 30 jaar,Ameland,Nederlandse achtergrond,186,99,87, , , 
25 tot 30 jaar,Ameland,Westerse migratieachtergrond,18,6,12,10,4,6
25 tot 30 jaar,Ameland,Niet-westerse migratieachtergrond,8,3,5,6,2,4
25 tot 30 jaar,Amersfoort,Totaal,9901,4915,4986,1286,600,686
25 tot 30 jaar,Amersfoort,Nederlandse achtergrond,7145,3554,3591, , , 
25 tot 30 jaar,Amersfoort,Westerse migratieachtergrond,887,413,474,431,189,242
25 tot 30 jaar,Amersfoort,Niet-westerse migratieachtergrond,1869,948,921,855,411,444
25 tot 30 jaar,Amstelveen,Totaal,5308,2613,2695,2312,1086,1226
25 tot 30 jaar,Amstelveen,Nederlandse achtergrond,2146,1110,1036, , , 
25 tot 30 jaar,Amstelveen,Westerse migratieachtergrond,1017,495,522,692,327,365
25 tot 30 jaar,Amstelveen,Niet-westerse migratieachtergrond,2145,1008,1137,1620,759,861
25 tot 30 jaar,Amsterdam,Totaal,92595,44242,48353,26964,12835,14129
25 tot 30 jaar,Amsterdam,Nederlandse achtergrond,44691,21192,23499, , , 
25 tot 30 jaar,Amsterdam,Westerse migratieachtergrond,19987,9165,10822,14794,6730,8064
25 tot 30 jaar,Amsterdam,Niet-westerse migratieachtergrond,27917,13885,14032,12170,6105,6065
25 tot 30 jaar,Apeldoorn,Totaal,9177,4631,4546,913,452,461
25 tot 30 jaar,Apeldoorn,Nederlandse achtergrond,7208,3656,3552, , , 
25 tot 30 jaar,Apeldoorn,Westerse migratieachtergrond,717,328,389,315,129,186
25 tot 30 jaar,Apeldoorn,Niet-westerse migratieachtergrond,1252,647,605,598,323,275
25 tot 30 jaar,Appingedam,Totaal,628,314,314,45,23,22
25 tot 30 jaar,Appingedam,Nederlandse achtergrond,519,258,261, , , 
25 tot 30 jaar,Appingedam,Westerse migratieachtergrond,51,25,26,23,12,11
25 tot 30 jaar,Appingedam,Niet-westerse migratieachtergrond,58,31,27,22,11,11
25 tot 30 jaar,Arnhem,Totaal,12536,6381,6155,2225,1185,1040
25 tot 30 jaar,Arnhem,Nederlandse achtergrond,8180,4110,4070, , , 
25 tot 30 jaar,Arnhem,Westerse migratieachtergrond,1364,657,707,730,343,387
25 tot 30 jaar,Arnhem,Niet-westerse migratieachtergrond,2992,1614,1378,1495,842,653
25 tot 30 jaar,Assen,Totaal,3507,1788,1719,349,202,147
25 tot 30 jaar,Assen,Nederlandse achtergrond,2890,1444,1446, , , 
25 tot 30 jaar,Assen,Westerse migratieachtergrond,226,114,112,98,52,46
25 tot 30 jaar,Assen,Niet-westerse migratieachtergrond,391,230,161,251,150,101
25 tot 30 jaar,Asten,Totaal,947,501,446,152,81,71
25 tot 30 jaar,Asten,Nederlandse achtergrond,760,399,361, , , 
25 tot 30 jaar,Asten,Westerse migratieachtergrond,141,78,63,121,66,55
25 tot 30 jaar,Asten,Niet-westerse migratieachtergrond,46,24,22,31,15,16
25 tot 30 jaar,Baarle-Nassau,Totaal,316,162,154,42,20,22
25 tot 30 jaar,Baarle-Nassau,Nederlandse achtergrond,217,113,104, , , 
25 tot 30 jaar,Baarle-Nassau,Westerse migratieachtergrond,83,43,40,32,15,17
25 tot 30 jaar,Baarle-Nassau,Niet-westerse migratieachtergrond,16,6,10,10,5,5
25 tot 30 jaar,Baarn,Totaal,1104,554,550,126,62,64
25 tot 30 jaar,Baarn,Nederlandse achtergrond,848,425,423, , , 
25 tot 30 jaar,Baarn,Westerse migratieachtergrond,91,46,45,39,21,18
25 tot 30 jaar,Baarn,Niet-westerse migratieachtergrond,165,83,82,87,41,46
25 tot 30 jaar,Barendrecht,Totaal,1904,971,933,216,88,128
25 tot 30 jaar,Barendrecht,Nederlandse achtergrond,1280,679,601, , , 
25 tot 30 jaar,Barendrecht,Westerse migratieachtergrond,169,73,96,74,24,50
25 tot 30 jaar,Barendrecht,Niet-westerse migratieachtergrond,455,219,236,142,64,78
25 tot 30 jaar,Barneveld,Totaal,3699,1868,1831,184,94,90
25 tot 30 jaar,Barneveld,Nederlandse achtergrond,3370,1694,1676, , , 
25 tot 30 jaar,Barneveld,Westerse migratieachtergrond,124,61,63,69,28,41
25 tot 30 jaar,Barneveld,Niet-westerse migratieachtergrond,205,113,92,115,66,49
25 tot 30 jaar,Bedum,Totaal,513,262,251,27,13,14
25 tot 30 jaar,Bedum,Nederlandse achtergrond,461,234,227, , , 
25 tot 30 jaar,Bedum,Westerse migratieachtergrond,19,8,11,8,2,6
25 tot 30 jaar,Bedum,Niet-westerse migratieachtergrond,33,20,13,19,11,8
25 tot 30 jaar,Beek (L.),Totaal,834,443,391,47,18,29
25 tot 30 jaar,Beek (L.),Nederlandse achtergrond,725,395,330, , , 
25 tot 30 jaar,Beek (L.),Westerse migratieachtergrond,63,24,39,22,4,18
25 tot 30 jaar,Beek (L.),Niet-westerse migratieachtergrond,46,24,22,25,14,11
25 tot 30 jaar,Beemster,Totaal,436,219,217,26,16,10
25 tot 30 jaar,Beemster,Nederlandse achtergrond,381,189,192, , , 
25 tot 30 jaar,Beemster,Westerse migratieachtergrond,28,16,12,8,6,2
25 tot 30 jaar,Beemster,Niet-westerse migratieachtergrond,27,14,13,18,10,8
25 tot 30 jaar,Beesel,Totaal,587,330,257,24,9,15
25 tot 30 jaar,Beesel,Nederlandse achtergrond,502,289,213, , , 
25 tot 30 jaar,Beesel,Westerse migratieachtergrond,43,20,23,12,4,8
25 tot 30 jaar,Beesel,Niet-westerse migratieachtergrond,42,21,21,12,5,7
25 tot 30 jaar,Bellingwedde,Totaal,379,223,156,32,25,7
25 tot 30 jaar,Bellingwedde,Nederlandse achtergrond,326,186,140, , , 
25 tot 30 jaar,Bellingwedde,Westerse migratieachtergrond,19,11,8,6,4,2
25 tot 30 jaar,Bellingwedde,Niet-westerse migratieachtergrond,34,26,8,26,21,5
25 tot 30 jaar,Berg en Dal,Totaal,1671,899,772,133,68,65
25 tot 30 jaar,Berg en Dal,Nederlandse achtergrond,1422,758,664, , , 
25 tot 30 jaar,Berg en Dal,Westerse migratieachtergrond,129,70,59,54,25,29
25 tot 30 jaar,Berg en Dal,Niet-westerse migratieachtergrond,120,71,49,79,43,36
25 tot 30 jaar,Bergeijk,Totaal,951,493,458,65,28,37
25 tot 30 jaar,Bergeijk,Nederlandse achtergrond,845,440,405, , , 
25 tot 30 jaar,Bergeijk,Westerse migratieachtergrond,70,41,29,36,18,18
25 tot 30 jaar,Bergeijk,Niet-westerse migratieachtergrond,36,12,24,29,10,19
25 tot 30 jaar,Bergen (L.),Totaal,586,319,267,47,27,20
25 tot 30 jaar,Bergen (L.),Nederlandse achtergrond,498,266,232, , , 
25 tot 30 jaar,Bergen (L.),Westerse migratieachtergrond,59,36,23,27,16,11
25 tot 30 jaar,Bergen (L.),Niet-westerse migratieachtergrond,29,17,12,20,11,9
25 tot 30 jaar,Bergen (NH.),Totaal,913,475,438,70,29,41
25 tot 30 jaar,Bergen (NH.),Nederlandse achtergrond,769,404,365, , , 
25 tot 30 jaar,Bergen (NH.),Westerse migratieachtergrond,85,43,42,28,11,17
25 tot 30 jaar,Bergen (NH.),Niet-westerse migratieachtergrond,59,28,31,42,18,24
25 tot 30 jaar,Bergen op Zoom,Totaal,3748,1831,1917,470,226,244
25 tot 30 jaar,Bergen op Zoom,Nederlandse achtergrond,2546,1228,1318, , , 
25 tot 30 jaar,Bergen op Zoom,Westerse migratieachtergrond,425,193,232,249,112,137
25 tot 30 jaar,Bergen op Zoom,Niet-westerse migratieachtergrond,777,410,367,221,114,107
